id,date,membre_id,produit_id,produit_nom,categorie,type,quantite,prix_unitaire,montant_total
1,2023-01-05,12,1,Mil,Céréales,Vente,100,350,35000
2,2023-01-06,5,4,Maïs,Céréales,Achat,200,280,56000
3,2023-01-08,23,13,Beurre de karité,Oléagineux,Vente,5,2800,14000
4,2023-01-10,7,2,Sorgho blanc,Céréales,Vente,150,400,60000
5,2023-01-12,34,8,Arachides coques,Légumineuses,Achat,80,500,40000
6,2023-01-15,18,16,Tomates,Maraîchage,Vente,25,550,13750
7,2023-01-18,2,10,Niébé blanc,Légumineuses,Vente,60,600,36000
8,2023-01-20,45,22,Mangues,Fruits,Vente,40,350,14000
9,2023-01-22,11,1,Mil,Céréales,Achat,250,320,80000
10,2023-01-25,29,17,Oignons,Maraîchage,Vente,35,650,22750
11,2023-01-28,3,5,Riz paddy,Céréales,Vente,75,500,37500
12,2023-01-30,41,12,Sésame,Oléagineux,Vente,15,1200,18000
13,2023-02-02,16,4,Maïs,Céréales,Vente,180,300,54000
14,2023-02-05,8,9,Arachides décortiquées,Légumineuses,Vente,30,800,24000
15,2023-02-08,27,3,Sorgho rouge,Céréales,Achat,120,360,43200
16,2023-02-10,14,24,Bananes,Fruits,Vente,20,550,11000
17,2023-02-12,33,15,Coton graine,Cultures de rente,Vente,300,300,90000
18,2023-02-15,6,7,Fonio,Céréales,Vente,25,650,16250
19,2023-02-18,39,11,Niébé rouge,Légumineuses,Achat,90,520,46800
20,2023-02-20,21,23,Oranges,Fruits,Vente,45,450,20250
21,2023-02-22,1,14,Noix de karité,Oléagineux,Vente,120,220,26400
22,2023-02-25,50,18,Choux,Maraîchage,Vente,30,350,10500
23,2023-02-28,13,6,Riz décortiqué,Céréales,Vente,40,750,30000
24,2023-03-03,25,20,Gombo,Maraîchage,Vente,22,525,11550
25,2023-03-05,4,1,Mil,Céréales,Vente,200,350,70000
26,2023-03-08,37,25,Papayes,Fruits,Achat,35,350,12250
27,2023-03-10,19,2,Sorgho blanc,Céréales,Vente,85,400,34000
28,2023-03-12,42,19,Haricot vert,Maraîchage,Vente,18,900,16200
29,2023-03-15,9,4,Maïs,Céréales,Achat,300,270,81000
30,2023-03-18,26,21,Aubergine,Maraîchage,Vente,28,450,12600
31,2023-03-20,15,8,Arachides coques,Légumineuses,Vente,95,550,52250
32,2023-03-22,31,13,Beurre de karité,Oléagineux,Vente,8,2800,22400
33,2023-03-25,10,16,Tomates,Maraîchage,Achat,50,500,25000
34,2023-03-28,47,5,Riz paddy,Céréales,Vente,55,500,27500
35,2023-03-30,22,10,Niébé blanc,Légumineuses,Vente,70,600,42000
36,2023-04-02,35,17,Oignons,Maraîchage,Vente,40,650,26000
37,2023-04-05,17,3,Sorgho rouge,Céréales,Vente,110,380,41800
38,2023-04-08,46,22,Mangues,Fruits,Vente,60,350,21000
39,2023-04-10,30,12,Sésame,Oléagineux,Achat,25,1100,27500
40,2023-04-12,5,7,Fonio,Céréales,Vente,32,650,20800
41,2023-04-15,43,24,Bananes,Fruits,Vente,28,550,15400
42,2023-04-18,20,15,Coton graine,Cultures de rente,Vente,400,300,120000
43,2023-04-20,28,9,Arachides décortiquées,Légumineuses,Vente,45,800,36000
44,2023-04-22,11,18,Choux,Maraîchage,Vente,25,350,8750
45,2023-04-25,36,23,Oranges,Fruits,Achat,65,420,27300
46,2023-04-28,7,11,Niébé rouge,Légumineuses,Vente,75,550,41250
47,2023-04-30,48,6,Riz décortiqué,Céréales,Vente,35,750,26250
48,2023-05-03,12,14,Noix de karité,Oléagineux,Vente,150,220,33000
49,2023-05-05,40,1,Mil,Céréales,Vente,180,350,63000
50,2023-05-08,3,20,Gombo,Maraîchage,Vente,30,525,15750
51,2023-05-10,32,4,Maïs,Céréales,Vente,220,300,66000
52,2023-05-12,24,25,Papayes,Fruits,Vente,42,375,15750
53,2023-05-15,49,2,Sorgho blanc,Céréales,Achat,160,380,60800
54,2023-05-18,16,21,Aubergine,Maraîchage,Vente,35,450,15750
55,2023-05-20,38,19,Haricot vert,Maraîchage,Vente,22,900,19800
56,2023-05-22,8,8,Arachides coques,Légumineuses,Vente,110,550,60500
57,2023-05-25,44,13,Beurre de karité,Oléagineux,Vente,6,2800,16800
58,2023-05-28,1,16,Tomates,Maraîchage,Vente,45,550,24750
59,2023-05-30,27,5,Riz paddy,Céréales,Vente,85,500,42500
60,2023-06-02,14,17,Oignons,Maraîchage,Achat,80,600,48000
61,2023-06-05,41,10,Niébé blanc,Légumineuses,Vente,90,600,54000
62,2023-06-08,23,3,Sorgho rouge,Céréales,Vente,95,380,36100
63,2023-06-10,6,22,Mangues,Fruits,Vente,75,350,26250
